nuts2,employment_rate_between_20_64,employment_rate_over_64
AT11,76.5,0.0
AT12,78.5,4.2
AT13,71.2,5.7
AT21,75.8,4.3
AT22,77.6,5.1
AT31,80.8,4.8
AT32,80.7,7.2
AT33,80.9,5.0
AT34,79.8,6.4
BE10,65.2,4.9
BE21,75.9,3.1
BE22,75.0,3.8
BE23,80.0,3.2
BE24,73.8,3.0
BE25,78.0,3.4
BE31,74.7,4.0
BE32,61.4,1.3
BE33,64.8,2.8
BE34,72.5,4.2
BE35,67.5,3.2
BG31,66.7,5.2
BG32,73.2,5.6
BG33,76.4,6.2
BG34,74.2,7.1
BG41,81.7,7.1
BG42,72.7,7.1
CH01,76.2,8.1
CH02,83.4,9.7
CH03,82.1,10.2
CH04,83.7,11.1
CH05,83.8,11.5
CH06,86.3,12.9
CH07,73.8,7.6
CY00,77.9,10.8
CZ01,84.4,12.1
CZ02,83.5,6.3
CZ03,82.3,7.9
CZ04,79.2,6.2
CZ05,80.9,6.5
CZ06,81.3,6.8
CZ07,80.1,5.0
CZ08,78.5,5.1
DE11,82.7,10.5
DE12,81.5,9.7
DE13,83.7,11.5
DE14,84.3,12.1
DE21,84.0,10.5
DE22,84.8,9.2
DE23,83.8,9.1
DE24,82.1,7.4
DE25,81.8,7.2
DE26,82.1,8.8
DE27,84.0,6.4
DE30,79.0,7.2
DE40,82.1,6.0
DE50,74.2,0.0
DE60,79.2,9.0
DE71,78.5,8.7
DE72,78.8,10.4
DE73,79.7,8.6
DE80,79.1,6.0
DE91,79.3,8.8
DE92,80.6,8.8
DE93,82.5,10.5
DE94,81.2,8.9
DEA1,77.3,8.5
DEA2,78.9,8.8
DEA3,78.9,9.3
DEA4,79.6,8.4
DEA5,78.0,6.9
DEB1,81.5,11.2
DEB2,83.3,0.0
DEB3,78.4,7.8
DEC0,78.2,7.6
DED2,83.1,5.1
DED4,83.7,5.5
DED5,83.3,0.0
DEE0,79.9,4.3
DEF0,80.7,9.4
DEG0,82.1,6.5
DK01,82.0,12.5
DK02,78.9,9.4
DK03,78.8,10.2
DK04,80.0,11.1
DK05,78.5,8.7
EE00,81.9,16.7
EL30,69.3,4.2
EL41,67.3,7.0
EL42,64.4,3.4
EL43,68.8,5.7
EL51,62.8,4.5
EL52,63.6,3.1
EL53,58.8,3.5
EL54,63.5,3.3
EL61,64.8,7.2
EL62,64.0,6.1
EL63,62.4,5.3
EL64,66.6,4.4
EL65,68.3,6.8
ES11,69.2,2.7
ES12,64.4,2.6
ES13,70.2,3.4
ES21,73.9,2.7
ES22,73.7,2.6
ES23,75.1,4.1
ES24,74.5,2.8
ES30,74.6,4.9
ES41,72.4,2.9
ES42,68.2,2.9
ES43,63.8,2.0
ES51,74.4,3.3
ES52,69.5,3.3
ES53,73.3,5.3
ES61,61.3,2.9
ES62,67.8,3.8
ES63,57.1,0.0
ES64,60.3,0.0
ES70,63.5,3.5
FI19,78.5,10.4
FI1B,80.8,10.0
FI1C,77.5,8.7
FI1D,75.1,7.8
FI20,89.7,0.0
FR10,76.5,6.4
FRB0,74.8,2.1
FRC1,75.7,4.7
FRC2,77.3,3.9
FRD1,74.6,4.5
FRD2,74.2,2.3
FRE1,68.5,2.8
FRE2,70.5,3.1
FRF1,76.6,2.9
FRF2,72.2,3.8
FRF3,71.1,2.8
FRG0,77.3,2.1
FRH0,74.8,3.6
FRI1,75.2,3.5
FRI2,73.0,4.4
FRI3,73.7,3.1
FRJ1,70.4,4.0
FRJ2,75.8,3.3
FRK1,74.0,3.2
FRK2,76.8,3.8
FRL0,72.7,4.4
FRM0,70.9,0.0
FRY1,56.8,3.8
FRY2,63.6,5.1
FRY3,50.5,0.0
FRY4,54.9,4.9
HR02,62.4,2.5
HR03,69.3,4.9
HR05,76.8,5.2
HR06,73.1,2.4
HU11,84.7,9.9
HU12,82.9,5.8
HU21,83.3,5.5
HU22,82.6,4.9
HU23,75.2,4.6
HU31,75.0,5.3
HU32,76.3,6.0
HU33,78.9,6.7
IE04,77.5,14.3
IE05,77.0,13.4
IE06,79.2,12.5
IS00,84.8,21.3
ITC1,71.3,4.9
ITC2,74.9,0.0
ITC3,70.7,4.9
ITC4,73.4,4.8
ITF1,62.8,5.3
ITF2,58.8,4.7
ITF3,47.3,4.4
ITF4,53.4,3.6
ITF5,57.3,4.7
ITF6,47.0,4.6
ITG1,46.2,3.3
ITG2,58.6,4.4
ITH1,79.2,8.9
ITH2,74.9,4.7
ITH3,72.9,5.4
ITH4,73.4,5.4
ITH5,74.8,6.1
ITI1,73.7,6.4
ITI2,69.9,5.1
ITI3,72.0,5.8
ITI4,66.5,5.1
LT01,84.4,14.7
LT02,76.6,10.8
LU00,74.8,3.6
LV00,77.0,13.3
MT00,81.1,7.2
NL11,80.9,8.5
NL12,82.2,11.2
NL13,83.3,10.8
NL21,83.3,9.9
NL22,83.3,12.3
NL23,83.0,12.1
NL31,85.1,11.1
NL32,83.5,12.2
NL33,81.8,9.5
NL34,83.5,8.9
NL41,84.3,10.1
NL42,79.2,9.1
NO02,80.4,13.6
NO06,81.4,14.2
NO07,80.6,9.8
NO08,81.8,15.3
NO09,77.2,12.9
NO0A,81.5,13.0
PL21,73.9,6.0
PL22,74.6,4.8
PL41,78.9,5.8
PL42,75.5,7.5
PL43,75.7,6.8
PL51,76.5,7.4
PL52,76.3,6.3
PL61,76.9,5.6
PL62,73.6,4.2
PL63,79.1,6.3
PL71,78.6,7.7
PL72,76.0,5.9
PL81,75.4,5.8
PL82,68.7,3.4
PL84,77.7,5.0
PL91,85.4,9.2
PL92,76.2,5.5
PT11,76.4,8.2
PT15,79.7,10.8
PT16,78.5,9.1
PT17,78.3,9.2
PT18,78.8,9.1
PT20,72.3,0.0
PT30,72.6,9.6
RO11,72.2,1.6
RO12,67.6,0.0
RO21,69.4,4.4
RO22,63.4,2.1
RO31,65.8,1.4
RO32,79.9,1.7
RO41,61.8,2.8
RO42,65.2,0.0
RS11,73.9,6.4
RS12,69.3,5.9
RS21,68.9,12.8
RS22,64.1,7.6
SE11,85.1,14.3
SE12,78.1,12.3
SE21,83.9,14.6
SE22,79.3,11.7
SE23,83.6,15.1
SE31,81.4,11.1
SE32,83.5,14.2
SE33,81.6,10.6
SI03,76.0,4.6
SI04,80.1,4.7
SK01,84.5,8.1
SK02,78.3,4.3
SK03,76.7,4.0
SK04,71.3,4.4
