label,percent,agency
10–,0.890%,go-ahead baden-württemberg gmbh
11–,1.62%,go-ahead baden-württemberg gmbh
16–,0.942%,go-ahead baden-württemberg gmbh
21–,0.262%,go-ahead baden-württemberg gmbh
26–,0.366%,go-ahead baden-württemberg gmbh
31–,0.681%,go-ahead baden-württemberg gmbh
46–,0.314%,go-ahead baden-württemberg gmbh
61–,,go-ahead baden-württemberg gmbh
76–,,go-ahead baden-württemberg gmbh
91–,,go-ahead baden-württemberg gmbh
cancelled,1.73%,go-ahead baden-württemberg gmbh
substituted,,go-ahead bayern gmbh
-5–,,go-ahead bayern gmbh
-4–,,go-ahead bayern gmbh
-3–,,go-ahead bayern gmbh
-2–,,go-ahead bayern gmbh
-1–,,go-ahead bayern gmbh
0–,66.8%,go-ahead bayern gmbh
1–,8.06%,go-ahead bayern gmbh
2–,5.37%,go-ahead bayern gmbh
3–,2.69%,go-ahead bayern gmbh
4–,1.58%,go-ahead bayern gmbh
5–,1.74%,go-ahead bayern gmbh
6–,0.948%,go-ahead bayern gmbh
7–,0.948%,go-ahead bayern gmbh
8–,1.74%,go-ahead bayern gmbh
9–,0.632%,go-ahead bayern gmbh
10–,0.790%,go-ahead bayern gmbh
11–,0.948%,go-ahead bayern gmbh
16–,1.11%,go-ahead bayern gmbh
21–,1.26%,go-ahead bayern gmbh
26–,0.316%,go-ahead bayern gmbh
31–,0.790%,go-ahead bayern gmbh
46–,0.158%,go-ahead bayern gmbh
61–,0.158%,go-ahead bayern gmbh
76–,,go-ahead bayern gmbh
91–,,go-ahead bayern gmbh
cancelled,3.95%,go-ahead bayern gmbh
substituted,,metronom eisenbahngesellschaft mbh
-5–,,metronom eisenbahngesellschaft mbh
-4–,,metronom eisenbahngesellschaft mbh
-3–,,metronom eisenbahngesellschaft mbh
-2–,,metronom eisenbahngesellschaft mbh
-1–,,metronom eisenbahngesellschaft mbh
0–,59.1%,metronom eisenbahngesellschaft mbh
1–,7.24%,metronom eisenbahngesellschaft mbh
2–,4.79%,metronom eisenbahngesellschaft mbh
3–,4.21%,metronom eisenbahngesellschaft mbh
4–,1.64%,metronom eisenbahngesellschaft mbh
5–,2.10%,metronom eisenbahngesellschaft mbh
6–,1.99%,metronom eisenbahngesellschaft mbh
7–,1.29%,metronom eisenbahngesellschaft mbh
8–,1.52%,metronom eisenbahngesellschaft mbh
9–,1.05%,metronom eisenbahngesellschaft mbh
10–,0.935%,metronom eisenbahngesellschaft mbh
11–,3.97%,metronom eisenbahngesellschaft mbh
16–,1.40%,metronom eisenbahngesellschaft mbh
21–,1.29%,metronom eisenbahngesellschaft mbh
26–,0.701%,metronom eisenbahngesellschaft mbh
31–,0.584%,metronom eisenbahngesellschaft mbh
46–,0.234%,metronom eisenbahngesellschaft mbh
61–,0.117%,metronom eisenbahngesellschaft mbh
76–,,metronom eisenbahngesellschaft mbh
91–,,metronom eisenbahngesellschaft mbh
cancelled,5.84%,metronom eisenbahngesellschaft mbh
substituted,,metronom
-5–,,metronom
-4–,,metronom
-3–,,metronom
-2–,,metronom
-1–,,metronom
0–,59.1%,metronom
1–,7.24%,metronom
2–,4.79%,metronom
3–,4.21%,metronom
4–,1.64%,metronom
5–,2.10%,metronom
6–,1.99%,metronom
7–,1.29%,metronom
8–,1.52%,metronom
9–,1.05%,metronom
10–,0.935%,metronom
11–,3.97%,metronom
16–,1.40%,metronom
21–,1.29%,metronom
26–,0.701%,metronom
31–,0.584%,metronom
46–,0.234%,metronom
61–,0.117%,metronom
76–,,metronom
91–,,metronom
cancelled,5.84%,metronom
substituted,0.387%,mitteldeutsche regiobahn
-5–,,mitteldeutsche regiobahn
-4–,,mitteldeutsche regiobahn
-3–,,mitteldeutsche regiobahn
-2–,0.193%,mitteldeutsche regiobahn
-1–,,mitteldeutsche regiobahn
0–,80.7%,mitteldeutsche regiobahn
1–,6.38%,mitteldeutsche regiobahn
2–,2.90%,mitteldeutsche regiobahn
3–,1.93%,mitteldeutsche regiobahn
4–,1.16%,mitteldeutsche regiobahn
5–,1.16%,mitteldeutsche regiobahn
6–,0.193%,mitteldeutsche regiobahn
7–,0.967%,mitteldeutsche regiobahn
8–,0.193%,mitteldeutsche regiobahn
9–,0.193%,mitteldeutsche regiobahn
10–,0.193%,mitteldeutsche regiobahn
11–,0.774%,mitteldeutsche regiobahn
16–,0.387%,mitteldeutsche regiobahn
21–,0.193%,mitteldeutsche regiobahn
26–,,mitteldeutsche regiobahn
31–,,mitteldeutsche regiobahn
46–,,mitteldeutsche regiobahn
61–,,mitteldeutsche regiobahn
76–,,mitteldeutsche regiobahn
91–,,mitteldeutsche regiobahn
cancelled,2.13%,mitteldeutsche regiobahn
substituted,,mittelrheinbahn (trans regio)
-5–,,mittelrheinbahn (trans regio)
-4–,,mittelrheinbahn (trans regio)
-3–,,mittelrheinbahn (trans regio)
-2–,,mittelrheinbahn (trans regio)
-1–,,mittelrheinbahn (trans regio)
0–,50.3%,mittelrheinbahn (trans regio)
1–,5.32%,mittelrheinbahn (trans regio)
2–,5.46%,mittelrheinbahn (trans regio)
3–,3.22%,mittelrheinbahn (trans regio)
4–,3.50%,mittelrheinbahn (trans regio)
5–,2.66%,mittelrheinbahn (trans regio)
6–,2.10%,mittelrheinbahn (trans regio)
7–,2.24%,mittelrheinbahn (trans regio)
8–,1.68%,mittelrheinbahn (trans regio)
9–,1.54%,mittelrheinbahn (trans regio)
10–,1.26%,mittelrheinbahn (trans regio)
11–,6.44%,mittelrheinbahn (trans regio)
16–,4.48%,mittelrheinbahn (trans regio)
21–,1.12%,mittelrheinbahn (trans regio)
26–,2.24%,mittelrheinbahn (trans regio)
31–,2.10%,mittelrheinbahn (trans regio)
46–,0.700%,mittelrheinbahn (trans regio)
61–,0.140%,mittelrheinbahn (trans regio)
76–,,mittelrheinbahn (trans regio)
91–,,mittelrheinbahn (trans regio)
cancelled,3.50%,mittelrheinbahn (trans regio)
substituted,0.0133%,nahreisezug
-5–,,nahreisezug
-4–,,nahreisezug
-3–,,nahreisezug
-2–,,nahreisezug
-1–,,nahreisezug
0–,78.2%,nahreisezug
1–,10.5%,nahreisezug
2–,3.13%,nahreisezug
3–,3.00%,nahreisezug
4–,1.39%,nahreisezug
5–,0.590%,nahreisezug
6–,0.461%,nahreisezug
7–,0.296%,nahreisezug
8–,0.178%,nahreisezug
9–,0.152%,nahreisezug
10–,0.116%,nahreisezug
11–,0.320%,nahreisezug
16–,0.160%,nahreisezug
21–,0.0980%,nahreisezug
26–,0.0800%,nahreisezug
31–,0.135%,nahreisezug
46–,0.0491%,nahreisezug
61–,0.0116%,nahreisezug
76–,0.00869%,nahreisezug
91–,0.0237%,nahreisezug
cancelled,1.06%,nahreisezug
substituted,,national expre
-5–,,national expre
-4–,,national expre
-3–,,national expre
-2–,,national expre
-1–,,national expre
0–,40.5%,national expre
1–,9.85%,national expre
2–,6.37%,national expre
3–,5.24%,national expre
4–,4.45%,national expre
5–,3.33%,national expre
6–,2.77%,national expre
7–,2.69%,national expre
8–,2.04%,national expre
9–,1.90%,national expre
10–,1.69%,national expre
11–,5.30%,national expre
16–,3.37%,national expre
21–,2.25%,national expre
26–,1.56%,national expre
31–,1.92%,national expre
46–,0.804%,national expre
61–,0.492%,national expre
76–,0.148%,national expre
91–,0.246%,national expre
cancelled,3.12%,national expre
substituted,,neb niederbarnimer eisenbahn
-5–,,neb niederbarnimer eisenbahn
-4–,,neb niederbarnimer eisenbahn
-3–,,neb niederbarnimer eisenbahn
-2–,,neb niederbarnimer eisenbahn
-1–,,neb niederbarnimer eisenbahn
0–,51.8%,neb niederbarnimer eisenbahn
1–,27.2%,neb niederbarnimer eisenbahn
2–,3.51%,neb niederbarnimer eisenbahn
3–,1.75%,neb niederbarnimer eisenbahn
4–,2.63%,neb niederbarnimer eisenbahn
5–,1.75%,neb niederbarnimer eisenbahn
6–,0.877%,neb niederbarnimer eisenbahn
7–,0.439%,neb niederbarnimer eisenbahn
8–,0.439%,neb niederbarnimer eisenbahn
9–,0.877%,neb niederbarnimer eisenbahn
10–,,neb niederbarnimer eisenbahn
11–,0.439%,neb niederbarnimer eisenbahn
16–,0.877%,neb niederbarnimer eisenbahn
21–,0.877%,neb niederbarnimer eisenbahn
26–,,neb niederbarnimer eisenbahn
31–,,neb niederbarnimer eisenbahn
46–,,neb niederbarnimer eisenbahn
61–,,neb niederbarnimer eisenbahn
76–,,neb niederbarnimer eisenbahn
91–,,neb niederbarnimer eisenbahn
cancelled,6.58%,neb niederbarnimer eisenbahn
substituted,,nordbahn eisenbahngesellschaft
-5–,,nordbahn eisenbahngesellschaft
-4–,,nordbahn eisenbahngesellschaft
-3–,,nordbahn eisenbahngesellschaft
-2–,,nordbahn eisenbahngesellschaft
-1–,,nordbahn eisenbahngesellschaft
0–,59.9%,nordbahn eisenbahngesellschaft
1–,13.2%,nordbahn eisenbahngesellschaft
2–,9.88%,nordbahn eisenbahngesellschaft
3–,4.13%,nordbahn eisenbahngesellschaft
4–,2.65%,nordbahn eisenbahngesellschaft
5–,1.98%,nordbahn eisenbahngesellschaft
6–,1.41%,nordbahn eisenbahngesellschaft
7–,0.882%,nordbahn eisenbahngesellschaft
8–,1.06%,nordbahn eisenbahngesellschaft
9–,0.670%,nordbahn eisenbahngesellschaft
10–,0.600%,nordbahn eisenbahngesellschaft
11–,0.705%,nordbahn eisenbahngesellschaft
16–,0.423%,nordbahn eisenbahngesellschaft
21–,0.388%,nordbahn eisenbahngesellschaft
26–,0.282%,nordbahn eisenbahngesellschaft
31–,0.176%,nordbahn eisenbahngesellschaft
46–,0.141%,nordbahn eisenbahngesellschaft
61–,0.0705%,nordbahn eisenbahngesellschaft
76–,,nordbahn eisenbahngesellschaft
91–,,nordbahn eisenbahngesellschaft
cancelled,1.52%,nordbahn eisenbahngesellschaft
substituted,,nordwestbahn
-5–,,nordwestbahn
-4–,,nordwestbahn
-3–,,nordwestbahn
-2–,,nordwestbahn
-1–,,nordwestbahn
0–,79.2%,nordwestbahn
1–,5.44%,nordwestbahn
2–,3.32%,nordwestbahn
3–,2.01%,nordwestbahn
4–,1.51%,nordwestbahn
5–,2.01%,nordwestbahn
6–,0.806%,nordwestbahn
7–,0.403%,nordwestbahn
8–,0.403%,nordwestbahn
9–,0.403%,nordwestbahn
10–,0.604%,nordwestbahn
11–,0.705%,nordwestbahn
16–,0.604%,nordwestbahn
21–,0.101%,nordwestbahn
26–,,nordwestbahn
31–,0.302%,nordwestbahn
46–,,nordwestbahn
61–,,nordwestbahn
76–,,nordwestbahn
91–,,nordwestbahn
cancelled,2.22%,nordwestbahn
substituted,,oberpfalzbahn - die länderbahn gmbh dlb
-5–,,oberpfalzbahn - die länderbahn gmbh dlb
-4–,,oberpfalzbahn - die länderbahn gmbh dlb
-3–,,oberpfalzbahn - die länderbahn gmbh dlb
-2–,,oberpfalzbahn - die länderbahn gmbh dlb
-1–,,oberpfalzbahn - die länderbahn gmbh dlb
0–,53.9%,oberpfalzbahn - die länderbahn gmbh dlb
1–,23.4%,oberpfalzbahn - die länderbahn gmbh dlb
2–,8.59%,oberpfalzbahn - die länderbahn gmbh dlb
3–,3.91%,oberpfalzbahn - die länderbahn gmbh dlb
4–,1.56%,oberpfalzbahn - die länderbahn gmbh dlb
5–,1.56%,oberpfalzbahn - die länderbahn gmbh dlb
6–,1.56%,oberpfalzbahn - die länderbahn gmbh dlb
7–,,oberpfalzbahn - die länderbahn gmbh dlb
8–,,oberpfalzbahn - die länderbahn gmbh dlb
9–,,oberpfalzbahn - die länderbahn gmbh dlb
10–,,oberpfalzbahn - die länderbahn gmbh dlb
11–,2.34%,oberpfalzbahn - die länderbahn gmbh dlb
16–,0.781%,oberpfalzbahn - die länderbahn gmbh dlb
21–,,oberpfalzbahn - die länderbahn gmbh dlb
26–,,oberpfalzbahn - die länderbahn gmbh dlb
31–,,oberpfalzbahn - die länderbahn gmbh dlb
46–,,oberpfalzbahn - die länderbahn gmbh dlb
61–,,oberpfalzbahn - die länderbahn gmbh dlb
76–,,oberpfalzbahn - die länderbahn gmbh dlb
91–,,oberpfalzbahn - die länderbahn gmbh dlb
cancelled,2.34%,oberpfalzbahn - die länderbahn gmbh dlb
substituted,,ostdeutsche eisenbahn gmbh
-5–,,ostdeutsche eisenbahn gmbh
-4–,,ostdeutsche eisenbahn gmbh
-3–,,ostdeutsche eisenbahn gmbh
-2–,,ostdeutsche eisenbahn gmbh
-1–,,ostdeutsche eisenbahn gmbh
0–,55.8%,ostdeutsche eisenbahn gmbh
1–,11.0%,ostdeutsche eisenbahn gmbh
2–,5.71%,ostdeutsche eisenbahn gmbh
3–,4.60%,ostdeutsche eisenbahn gmbh
4–,3.37%,ostdeutsche eisenbahn gmbh
5–,3.32%,ostdeutsche eisenbahn gmbh
6–,2.07%,ostdeutsche eisenbahn gmbh
7–,1.60%,ostdeutsche eisenbahn gmbh
8–,1.37%,ostdeutsche eisenbahn gmbh
9–,1.09%,ostdeutsche eisenbahn gmbh
10–,1.14%,ostdeutsche eisenbahn gmbh
11–,2.45%,ostdeutsche eisenbahn gmbh
16–,0.976%,ostdeutsche eisenbahn gmbh
21–,0.893%,ostdeutsche eisenbahn gmbh
26–,0.844%,ostdeutsche eisenbahn gmbh
31–,0.595%,ostdeutsche eisenbahn gmbh
46–,0.265%,ostdeutsche eisenbahn gmbh
61–,0.149%,ostdeutsche eisenbahn gmbh
76–,0.0165%,ostdeutsche eisenbahn gmbh
91–,0.0331%,ostdeutsche eisenbahn gmbh
cancelled,2.65%,ostdeutsche eisenbahn gmbh
substituted,,regiobahn
-5–,,regiobahn
-4–,,regiobahn
-3–,,regiobahn
-2–,,regiobahn
-1–,,regiobahn
0–,26.3%,regiobahn
1–,19.3%,regiobahn
2–,10.8%,regiobahn
3–,7.36%,regiobahn
4–,5.69%,regiobahn
5–,4.08%,regiobahn
6–,3.14%,regiobahn
7–,2.09%,regiobahn
8–,1.66%,regiobahn
9–,1.35%,regiobahn
10–,1.08%,regiobahn
11–,4.22%,regiobahn
16–,1.52%,regiobahn
21–,0.784%,regiobahn
26–,0.261%,regiobahn
31–,0.319%,regiobahn
46–,0.0574%,regiobahn
61–,0.0446%,regiobahn
76–,0.0128%,regiobahn
91–,0.0128%,regiobahn
cancelled,9.93%,regiobahn
substituted,,rurtalbahn
-5–,,rurtalbahn
-4–,,rurtalbahn
-3–,,rurtalbahn
-2–,,rurtalbahn
-1–,,rurtalbahn
0–,58.2%,rurtalbahn
1–,13.1%,rurtalbahn
2–,13.9%,rurtalbahn
3–,3.28%,rurtalbahn
4–,2.46%,rurtalbahn
5–,0.820%,rurtalbahn
6–,1.64%,rurtalbahn
7–,0.820%,rurtalbahn
8–,2.46%,rurtalbahn
9–,,rurtalbahn
10–,,rurtalbahn
11–,,rurtalbahn
16–,,rurtalbahn
21–,,rurtalbahn
26–,,rurtalbahn
31–,3.28%,rurtalbahn
46–,,rurtalbahn
61–,,rurtalbahn
76–,,rurtalbahn
91–,,rurtalbahn
substituted,0.0784%,sbb
-5–,,sbb
-4–,,sbb
-3–,,sbb
-2–,,sbb
-1–,,sbb
0–,49.7%,sbb
1–,30.6%,sbb
2–,6.08%,sbb
3–,2.35%,sbb
4–,1.88%,sbb
5–,0.706%,sbb
6–,0.588%,sbb
7–,0.392%,sbb
8–,0.470%,sbb
9–,0.392%,sbb
10–,0.549%,sbb
11–,1.53%,sbb
16–,0.823%,sbb
21–,0.627%,sbb
26–,0.549%,sbb
31–,0.823%,sbb
46–,0.470%,sbb
61–,0.274%,sbb
76–,0.157%,sbb
91–,0.0392%,sbb
cancelled,0.941%,sbb
substituted,,sweg bahn stuttgart gmbh
-5–,,sweg bahn stuttgart gmbh
-4–,,sweg bahn stuttgart gmbh
-3–,,sweg bahn stuttgart gmbh
-2–,,sweg bahn stuttgart gmbh
-1–,,sweg bahn stuttgart gmbh
0–,52.9%,sweg bahn stuttgart gmbh
1–,11.8%,sweg bahn stuttgart gmbh
2–,8.53%,sweg bahn stuttgart gmbh
3–,5.15%,sweg bahn stuttgart gmbh
4–,3.62%,sweg bahn stuttgart gmbh
5–,2.96%,sweg bahn stuttgart gmbh
6–,1.33%,sweg bahn stuttgart gmbh
7–,0.810%,sweg bahn stuttgart gmbh
8–,0.858%,sweg bahn stuttgart gmbh
9–,1.05%,sweg bahn stuttgart gmbh
10–,0.810%,sweg bahn stuttgart gmbh
11–,1.72%,sweg bahn stuttgart gmbh
16–,0.906%,sweg bahn stuttgart gmbh
21–,0.572%,sweg bahn stuttgart gmbh
26–,0.334%,sweg bahn stuttgart gmbh
31–,0.477%,sweg bahn stuttgart gmbh
46–,0.334%,sweg bahn stuttgart gmbh
61–,0.0477%,sweg bahn stuttgart gmbh
76–,0.0477%,sweg bahn stuttgart gmbh
91–,,sweg bahn stuttgart gmbh
cancelled,5.82%,sweg bahn stuttgart gmbh
substituted,,süd-thüringen-bahn
-5–,,süd-thüringen-bahn
-4–,,süd-thüringen-bahn
-3–,,süd-thüringen-bahn
-2–,,süd-thüringen-bahn
-1–,,süd-thüringen-bahn
0–,87.5%,süd-thüringen-bahn
1–,7.57%,süd-thüringen-bahn
2–,1.32%,süd-thüringen-bahn
3–,2.30%,süd-thüringen-bahn
4–,0.658%,süd-thüringen-bahn
5–,,süd-thüringen-bahn
6–,,süd-thüringen-bahn
7–,,süd-thüringen-bahn
8–,,süd-thüringen-bahn
9–,,süd-thüringen-bahn
10–,,süd-thüringen-bahn
11–,0.329%,süd-thüringen-bahn
16–,,süd-thüringen-bahn
21–,,süd-thüringen-bahn
26–,,süd-thüringen-bahn
31–,0.329%,süd-thüringen-bahn
46–,,süd-thüringen-bahn
61–,,süd-thüringen-bahn
76–,,süd-thüringen-bahn
91–,,süd-thüringen-bahn
substituted,0.0833%,süwex
-5–,,süwex
-4–,,süwex
-3–,,süwex
-2–,,süwex
-1–,,süwex
0–,37.9%,süwex
1–,18.5%,süwex
2–,9.66%,süwex
3–,4.75%,süwex
4–,3.50%,süwex
5–,3.75%,süwex
6–,1.67%,süwex
7–,1.75%,süwex
8–,0.833%,süwex
9–,0.666%,süwex
10–,1.33%,süwex
11–,4.08%,süwex
16–,3.08%,süwex
21–,1.75%,süwex
26–,1.25%,süwex
31–,1.50%,süwex
46–,0.333%,süwex
61–,0.0833%,süwex
76–,0.0833%,süwex
91–,,süwex
cancelled,3.50%,süwex
substituted,,trilex - die länderbahn gmbh dlb
-5–,,trilex - die länderbahn gmbh dlb
-4–,,trilex - die länderbahn gmbh dlb
-3–,,trilex - die länderbahn gmbh dlb
-2–,,trilex - die länderbahn gmbh dlb
-1–,,trilex - die länderbahn gmbh dlb
0–,72.4%,trilex - die länderbahn gmbh dlb
1–,16.5%,trilex - die länderbahn gmbh dlb
2–,5.75%,trilex - die länderbahn gmbh dlb
3–,2.30%,trilex - die länderbahn gmbh dlb
4–,1.15%,trilex - die länderbahn gmbh dlb
5–,0.383%,trilex - die länderbahn gmbh dlb
6–,,trilex - die länderbahn gmbh dlb
7–,0.383%,trilex - die länderbahn gmbh dlb
8–,0.383%,trilex - die länderbahn gmbh dlb
9–,,trilex - die länderbahn gmbh dlb
10–,,trilex - die länderbahn gmbh dlb
11–,,trilex - die länderbahn gmbh dlb
16–,,trilex - die länderbahn gmbh dlb
21–,,trilex - die länderbahn gmbh dlb
26–,,trilex - die länderbahn gmbh dlb
31–,,trilex - die länderbahn gmbh dlb
46–,,trilex - die länderbahn gmbh dlb
61–,,trilex - die länderbahn gmbh dlb
76–,,trilex - die länderbahn gmbh dlb
91–,,trilex - die länderbahn gmbh dlb
cancelled,0.766%,trilex - die länderbahn gmbh dlb
substituted,0.0803%,vias rail gmbh
-5–,,vias rail gmbh
-4–,,vias rail gmbh
-3–,,vias rail gmbh
-2–,,vias rail gmbh
-1–,,vias rail gmbh
0–,33.1%,vias rail gmbh
1–,18.0%,vias rail gmbh
2–,9.64%,vias rail gmbh
3–,7.07%,vias rail gmbh
4–,5.14%,vias rail gmbh
5–,4.02%,vias rail gmbh
6–,2.73%,vias rail gmbh
7–,1.61%,vias rail gmbh
8–,1.93%,vias rail gmbh
9–,1.29%,vias rail gmbh
10–,1.37%,vias rail gmbh
11–,4.66%,vias rail gmbh
16–,2.49%,vias rail gmbh
21–,0.964%,vias rail gmbh
26–,0.964%,vias rail gmbh
31–,1.69%,vias rail gmbh
46–,,vias rail gmbh
61–,,vias rail gmbh
76–,,vias rail gmbh
91–,0.0803%,vias rail gmbh
cancelled,3.21%,vias rail gmbh
substituted,,vlexx
-5–,,vlexx
-4–,,vlexx
-3–,,vlexx
-2–,,vlexx
-1–,,vlexx
0–,55.0%,vlexx
1–,12.5%,vlexx
2–,7.29%,vlexx
3–,3.04%,vlexx
4–,1.90%,vlexx
5–,2.96%,vlexx
6–,1.90%,vlexx
7–,1.14%,vlexx
8–,1.52%,vlexx
9–,0.912%,vlexx
10–,0.988%,vlexx
11–,3.27%,vlexx
16–,1.06%,vlexx
21–,1.06%,vlexx
26–,0.380%,vlexx
31–,0.684%,vlexx
46–,0.304%,vlexx
61–,,vlexx
76–,,vlexx
91–,,vlexx
cancelled,4.03%,vlexx
substituted,,vogtlandbahn - die länderbahn gmbh dlb
-5–,,vogtlandbahn - die länderbahn gmbh dlb
-4–,,vogtlandbahn - die länderbahn gmbh dlb
-3–,,vogtlandbahn - die länderbahn gmbh dlb
-2–,,vogtlandbahn - die länderbahn gmbh dlb
-1–,,vogtlandbahn - die länderbahn gmbh dlb
0–,68.0%,vogtlandbahn - die länderbahn gmbh dlb
1–,13.6%,vogtlandbahn - die länderbahn gmbh dlb
2–,10.2%,vogtlandbahn - die länderbahn gmbh dlb
3–,3.88%,vogtlandbahn - die länderbahn gmbh dlb
4–,2.43%,vogtlandbahn - die länderbahn gmbh dlb
5–,0.485%,vogtlandbahn - die länderbahn gmbh dlb
6–,0.485%,vogtlandbahn - die länderbahn gmbh dlb
7–,0.485%,vogtlandbahn - die länderbahn gmbh dlb
8–,,vogtlandbahn - die länderbahn gmbh dlb
9–,,vogtlandbahn - die länderbahn gmbh dlb
10–,,vogtlandbahn - die länderbahn gmbh dlb
11–,0.485%,vogtlandbahn - die länderbahn gmbh dlb
16–,,vogtlandbahn - die länderbahn gmbh dlb
21–,,vogtlandbahn - die länderbahn gmbh dlb
26–,,vogtlandbahn - die länderbahn gmbh dlb
31–,,vogtlandbahn - die länderbahn gmbh dlb
46–,,vogtlandbahn - die länderbahn gmbh dlb
61–,,vogtlandbahn - die länderbahn gmbh dlb
76–,,vogtlandbahn - die länderbahn gmbh dlb
91–,,vogtlandbahn - die länderbahn gmbh dlb
substituted,0.0320%,westfalenbahn
-5–,,westfalenbahn
-4–,,westfalenbahn
-3–,,westfalenbahn
-2–,,westfalenbahn
-1–,,westfalenbahn
0–,77.3%,westfalenbahn
1–,7.39%,westfalenbahn
2–,3.90%,westfalenbahn
3–,2.17%,westfalenbahn
4–,1.60%,westfalenbahn
5–,1.44%,westfalenbahn
6–,0.704%,westfalenbahn
7–,0.768%,westfalenbahn
8–,0.480%,westfalenbahn
9–,0.416%,westfalenbahn
10–,0.544%,westfalenbahn
11–,1.02%,westfalenbahn
16–,0.640%,westfalenbahn
21–,0.352%,westfalenbahn
26–,0.288%,westfalenbahn
31–,0.480%,westfalenbahn
46–,0.128%,westfalenbahn
61–,0.0320%,westfalenbahn
76–,,westfalenbahn
91–,0.0959%,westfalenbahn
cancelled,0.192%,westfalenbahn
substituted,0.0123%,österreichische bundesbahnen
-5–,,österreichische bundesbahnen
-4–,,österreichische bundesbahnen
-3–,,österreichische bundesbahnen
-2–,,österreichische bundesbahnen
-1–,,österreichische bundesbahnen
0–,59.9%,österreichische bundesbahnen
1–,15.6%,österreichische bundesbahnen
2–,5.06%,österreichische bundesbahnen
3–,3.04%,österreichische bundesbahnen
4–,2.34%,österreichische bundesbahnen
5–,1.67%,österreichische bundesbahnen
6–,0.935%,österreichische bundesbahnen
7–,1.05%,österreichische bundesbahnen
8–,0.677%,österreichische bundesbahnen
9–,0.750%,österreichische bundesbahnen
10–,0.566%,österreichische bundesbahnen
11–,2.13%,österreichische bundesbahnen
16–,1.27%,österreichische bundesbahnen
21–,1.08%,österreichische bundesbahnen
26–,0.591%,österreichische bundesbahnen
31–,1.29%,österreichische bundesbahnen
46–,0.578%,österreichische bundesbahnen
61–,0.468%,österreichische bundesbahnen
76–,0.221%,österreichische bundesbahnen
91–,0.566%,österreichische bundesbahnen
cancelled,0.271%,österreichische bundesbahnen
